"initial_alias","converted_alias","name","description","namespace"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P42858","ENSG00000197386","HTT","huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P42858","ENSG00000197386","HTT","huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P42858","ENSG00000197386","HTT","huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P42858","ENSG00000197386","HTT","huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P54253","ENSG00000124788","ATXN1","ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P42858","ENSG00000197386","HTT","huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
